,2021-10-28
AAPL,0.5213747744509671
AEP,0.06058315051407126
AMT,0.2614429387292714
AMZN,0.2764556318742317
BA,0.039633307788178085
CVX,0.2738102055945746
DD,0.08724079241045501
DIS,0.16509285585329936
GE,0.31003752288634034
GOOGL,0.6096559475912102
HD,0.43285061734437535
IBM,0.02342028176959743
JNJ,0.09845515597617882
JPM,0.4020833603016367
KO,0.13765255043108726
MCD,0.1993092461264956
MSFT,0.587649853247215
PFE,0.2034421992668336
PG,0.16138071823277733
SBUX,0.2370809017105424
SHW,0.4507834232171639
SLG,0.2042649684591331
SPY,0.2899923881098936
TGT,0.6306631627165822
TSN,0.21331515838214488
UNH,0.42229079297461936
VZ,-0.00552052270581227
WFC,0.4482625501085584
WMT,0.1708396944677495
XOM,0.3231625122672339
