,mkt
AAPL,0.36045487282749783
AMZN,0.3186296651330645
BIIB,0.2971078928742716
CMCSA,0.2644871474915052
CME,0.24323496062177655
COST,0.22048835906741254
CSCO,0.3078725137506875
EA,0.27795983721590134
EBAY,0.25108488593750333
GOOG,0.3281927754389913
HD,0.2993288702217362
HON,0.26887401663163063
INTC,0.3722240037257104
JPM,0.29305672391300563
LULU,0.34038223865949485
META,0.3495206314191765
MSFT,0.3622903067451159
NFLX,0.34850722099065456
NVDA,0.5000198215176902
ORLY,0.2613728252930985
PEP,0.22673132935054996
PFE,0.20540735871107482
PYPL,0.3928881089705001
QCOM,0.37052981501254656
SBUX,0.2845699840257053
TSLA,0.45090164160606583
TXN,0.3590202792398147
VRTX,0.3093938972726615
WDAY,0.3759993344992985
XEL,0.1928348341255567
